"DATA POMIARU";"STACJA";"B720U03000";"B721U03000";"B734W03000";
2017-05-01 00:00:00;349190625;-5.07;-4.86;-0.2;
2017-05-01 00:01:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:02:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:03:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:04:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:05:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:06:00;349190625;-5.35;-4.9;-0.5;
2017-05-01 00:07:00;349190625;-5.3;-5.08;-0.2;
2017-05-01 00:08:00;349190625;-5.25;-5.1;-0.1;
2017-05-01 00:09:00;349190625;-5.22;-5.11;-0.1;
2017-05-01 00:10:00;349190625;-5.22;-5.15;-0.1;
2017-05-01 00:11:00;349190625;-5.22;-5.14;-0.1;
2017-05-01 00:12:00;349190625;-5.2;-5.15;-0.1;
2017-05-01 00:13:00;349190625;-5.13;-5.06;-0.1;
2017-05-01 00:14:00;349190625;-5.04;-4.88;-0.2;
2017-05-01 00:15:00;349190625;-5.16;-4.86;-0.3;
2017-05-01 00:16:00;349190625;-5.11;-4.86;-0.2;
2017-05-01 00:17:00;349190625;-5.08;-4.86;-0.2;
2017-05-01 00:18:00;349190625;-5.19;-4.86;-0.3;
2017-05-01 00:19:00;349190625;-5.2;-4.86;-0.3;
2017-05-01 00:20:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:21:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:22:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:23:00;349190625;-5.21;-4.86;-0.3;
2017-05-01 00:24:00;349190625;-5.1;-4.86;-0.2;
2017-05-01 00:25:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:26:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:27:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:28:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:29:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:30:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:31:00;349190625;-5.08;-4.86;-0.2;
2017-05-01 00:32:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:33:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:34:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:35:00;349190625;-5.14;-4.86;-0.3;
2017-05-01 00:36:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:37:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:38:00;349190625;-5.01;-4.86;-0.1;
2017-05-01 00:39:00;349190625;-5.08;-4.86;-0.2;
2017-05-01 00:40:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:41:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:42:00;349190625;-5.22;-4.87;-0.3;
2017-05-01 00:43:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:44:00;349190625;-5.22;-4.86;-0.4;
2017-05-01 00:45:00;349190625;-5.22;-4.86;-0.4;
